Nom de la commune,Population totale,Latitude,Longitude
Langan,1 094,48.2450190,-1.8535960
Langon,1 385,47.7204660,-1.8499601
Langouet,619,48.2497460,-1.8219965
Lanrigan,154,48.3962361,-1.6991371
Lassy,1 842,47.9792910,-1.8699811
Lécousse,3 423,48.3683827,-1.2177018
Lieuron,812,47.8513715,-1.9430551
Liffré,8 646,48.2145992,-1.5059748
Lillemer,390,48.5642894,-1.8612135
Livré-sur-Changeon,1 770,48.2184840,-1.3425681
Lohéac,694,47.8666607,-1.8854748
Longaulnay,616,48.3095942,-1.9392869
Le Loroux,646,48.3948164,-1.0635018
Lourmais,336,48.4492668,-1.7280059
Loutehel,245,47.9355273,-2.0800138
Louvigné-de-Bais,1 925,48.0481109,-1.3316285
Louvigné-du-Désert,3 392,48.4815182,-1.1231428
Luitré-Dompierre,1 849,48.2828612,-1.1373331
Maen Roch,5 188,48.3973839,-1.3402979
Marcillé-Raoul,735,48.3860094,-1.6073494
Marcillé-Robert,987,47.9513589,-1.3559138
Marpiré,1 045,48.1411828,-1.3407965
Martigné-Ferchaud,2 664,47.8313035,-1.3175430
Maxent,1 480,47.9823348,-2.0331515
Mecé,621,48.2372846,-1.3027437
Médréac,1 874,48.2674860,-2.0660070
Meillac,1 978,48.4117502,-1.8118487
Melesse,7 368,48.2175823,-1.6962403
Mellé,661,48.4878600,-1.1882940
Mernel,1 028,47.8979494,-1.9693860
Mesnil-Roc'h,4 508,48.4638042,-1.8741672
La Mézière,5 026,48.2193772,-1.7557922
Mézières-sur-Couesnon,1 772,48.2945630,-1.4323826
Miniac-Morvan,4 394,48.5150492,-1.8995937
Miniac-sous-Bécherel,812,48.2850548,-1.9301556
Le Minihic-sur-Rance,1 525,48.5762792,-2.0122162
Mondevert,832,48.0843838,-1.0986973
Mont-Dol,1 108,48.5700826,-1.7683797
Montauban-de-Bretagne,6 630,48.1998838,-2.0462319
Montautour,269,48.2043862,-1.1460727
Monterfil,1 385,48.0652825,-1.9793057
Montfort-sur-Meu,6 911,48.1372782,-1.9551450
Montgermont,3 760,48.1557367,-1.7162062
Monthault,254,48.5109103,-1.1803505
